TOC (%),Moisture (%),Temp (C),Pres. (MPa),CO2 Excess Sorption (cm3/gr)
5.15,6.94,30,0.672,0.1057
5.15,6.94,30,1.0533,0.1736
5.15,6.94,30,1.3439,0.2188
5.15,6.94,30,1.907,0.2944
5.15,6.94,30,2.5789,0.4
5.15,6.94,30,3.5053,0.5284
5.15,6.94,30,4.341,0.6192
5.15,6.94,30,5.2676,0.7101
5.15,6.94,30,6.1761,0.7934
5.15,6.94,30,7.0845,0.8768
6.84,5.24,30,0.3462,0.0599
6.84,5.24,30,0.583,0.1048
6.84,5.24,30,0.8016,0.1347
6.84,5.24,30,1.2024,0.1871
6.84,5.24,30,1.6215,0.2395
6.84,5.24,30,2.4231,0.3293
6.84,5.24,30,3.2976,0.4192
6.84,5.24,30,4.2449,0.524
6.84,5.24,30,5.2105,0.5913
6.84,5.24,30,6.1397,0.6587
6.84,5.24,30,7.1235,0.6811
1.64,4.37,30,0.5649,0.0155
1.64,4.37,30,0.82,0.0232
1.64,4.37,30,1.2392,0.0461
1.64,4.37,30,1.6766,0.069
1.64,4.37,30,2.424,0.1297
1.64,4.37,30,3.299,0.1904
1.64,4.37,30,4.2103,0.2513
1.64,4.37,30,5.1582,0.3196
1.64,4.37,30,6.1607,0.3805
1.64,4.37,30,7.1084,0.4339
0.81,4.98,30,1.2024,0.0075
0.81,4.98,30,1.6761,0.015
0.81,4.98,30,2.4595,0.0374
0.81,4.98,30,3.3522,0.0524
0.81,4.98,30,4.2996,0.0823
0.81,4.98,30,5.2652,0.0898
0.81,4.98,30,6.2126,0.0898
1.96,3.36,30,6,0.22
1.35,2.7,30,6,0.34
1.44,3.38,30,6,0.37
1.49,2.52,30,6,0.35
1.63,4.03,30,6,0.3
1.61,3.55,30,6,0.19
1.7,3.1,30,6,0.18
1.54,3.53,30,6,0.19
1.61,3.7,30,6,0.24
1.88,3.69,30,6,0.21
1.2,3.29,30,6,0.34
1.55,4.4,30,6,0.2
1.15,4.75,30,6,0.43
1.37,3.72,30,6,0.57
2.34,6.52,30,6,0.82
1.92,4.72,30,6,0.48
2.19,5.12,30,6,0.49
2.21,5.17,30,6,0.23
1.83,2.63,30,6,0.21
1.05,3.06,30,6,0.38
1.14,3.24,30,6,0.17
1.02,3.57,30,6,0.35
1.91,3.57,30,6,0.32
1.59,3.77,30,6,0.25
1.91,3.63,30,6,0.45
2.82,3.57,30,6,0.45
2.07,5.63,30,6,0.23
1.4,7.19,30,6,0.27
1.43,3.85,30,6,0.51
1.45,4.45,30,6,0.3
1.51,4.17,30,6,0.22
1.47,4.77,30,6,0.41
1.36,4.26,30,6,0.47
7.18,4.48,30,6,1.16
2.3,7.62,30,6,0.61
